heros,overcome,be_overcome
antimage,zuus,nyx_assassin
axe,terrorblade,terrorblade
bane,omniknight,furion
bloodseeker,antimage,leshrac
crystal_maiden,troll_warlord,lycan
drow_ranger,omniknight,visage
earthshaker,meepo,leshrac
juggernaut,spectre,magnataur
mirana,witch_doctor,elder_titan
morphling,phoenix,drow_ranger
nevermore,meepo,earth_spirit
phantom_lancer,skeleton_king,keeper_of_the_light
puck,obsidian_destroyer,life_stealer
pudge,abyssal_underlord,abyssal_underlord
razor,omniknight,drow_ranger
sand_king,phantom_lancer,chen
storm_spirit,tinker,techies
sven,meepo,wisp
tiny,meepo,wisp
vengefulspirit,antimage,drow_ranger
windrunner,huskar,techies
zuus,sand_king,spectre
kunkka,meepo,huskar
lina,meepo,naga_siren
lion,ursa,meepo
shadow_shaman,antimage,arc_warden
slardar,broodmother,alchemist
tidehunter,phantom_assassin,life_stealer
witch_doctor,centaur,undying
lich,meepo,lone_druid
riki,medusa,phoenix
enigma,omniknight,arc_warden
tinker,abyssal_underlord,antimage
sniper,abyssal_underlord,ogre_magi
necrolyte,spectre,spirit_breaker
warlock,chaos_knight,nyx_assassin
beastmaster,skeleton_king,furion
queenofpain,brewmaster,chen
venomancer,templar_assassin,death_prophet
faceless_void,weaver,skywrath_mage
skeleton_king,techies,kunkka
death_prophet,shredder,furion
phantom_assassin,antimage,techies
pugna,obsidian_destroyer,furion
templar_assassin,antimage,drow_ranger
viper,templar_assassin,drow_ranger
luna,omniknight,shadow_demon
dragon_knight,techies,chen
dazzle,spectre,huskar
rattletrap,axe,furion
leshrac,meepo,winter_wyvern
furion,undying,wisp
life_stealer,spectre,nyx_assassin
dark_seer,chaos_knight,furion
clinkz,phoenix,winter_wyvern
omniknight,spectre,obsidian_destroyer
enchantress,abyssal_underlord,drow_ranger
huskar,zuus,oracle
night_stalker,clinkz,jakiro
broodmother,skeleton_king,oracle
bounty_hunter,clinkz,batrider
weaver,undying,drow_ranger
jakiro,meepo,huskar
batrider,templar_assassin,furion
chen,spectre,drow_ranger
spectre,sniper,techies
ancient_apparition,necrolyte,slark
doom_bringer,axe,earth_spirit
ursa,juggernaut,wisp
spirit_breaker,antimage,warlock
gyrocopter,undying,drow_ranger
alchemist,spectre,earth_spirit
invoker,skeleton_king,terrorblade
silencer,shredder,spirit_breaker
obsidian_destroyer,omniknight,abyssal_underlord
lycan,spectre,batrider
brewmaster,skeleton_king,furion
shadow_demon,omniknight,luna
lone_druid,silencer,nyx_assassin
chaos_knight,arc_warden,wisp
meepo,antimage,lion
treant,spectre,obsidian_destroyer
ogre_magi,phantom_assassin,sniper
undying,spectre,winter_wyvern
rubick,enigma,wisp
disruptor,slark,lycan
nyx_assassin,medusa,lone_druid
naga_siren,chaos_knight,death_prophet
keeper_of_the_light,skeleton_king,phantom_lancer
wisp,spectre,tiny
visage,pudge,drow_ranger
slark,drow_ranger,wisp
medusa,undying,techies
troll_warlord,lycan,spirit_breaker
centaur,phantom_assassin,chen
magnataur,chaos_knight,nyx_assassin
shredder,meepo,nyx_assassin
bristleback,riki,bloodseeker
tusk,ancient_apparition,leshrac
skywrath_mage,shredder,faceless_void
abaddon,pudge,bloodseeker
elder_titan,meepo,spirit_breaker
legion_commander,broodmother,omniknight
techies,weaver,antimage
ember_spirit,phantom_lancer,doom_bringer
earth_spirit,storm_spirit,juggernaut
abyssal_underlord,spirit_breaker,shadow_demon
terrorblade,life_stealer,axe
phoenix,spectre,clinkz
oracle,lich,huskar
winter_wyvern,meepo,antimage
arc_warden,venomancer,oracle
