hero_1,hero_2,hero_3,hero_4,hero_5
sven,zuus,beastmaster,invoker,nyx_assassin
drow_ranger,mirana,nevermore,tidehunter,rubick
axe,bounty_hunter,invoker,slark,shredder
juggernaut,faceless_void,jakiro,ursa,treant
juggernaut,riki,phantom_assassin,ogre_magi,disruptor
antimage,puck,lich,sniper,legion_commander
phantom_assassin,life_stealer,spirit_breaker,silencer,slark
crystal_maiden,drow_ranger,pudge,luna,rattletrap
morphling,tiny,slardar,skeleton_king,weaver
bloodseeker,pudge,ursa,medusa,legion_commander
bloodseeker,nevermore,sand_king,windrunner,jakiro
drow_ranger,windrunner,invoker,wisp,legion_commander
juggernaut,mirana,necrolyte,beastmaster,brewmaster
pudge,enigma,sniper,phantom_assassin,huskar
death_prophet,templar_assassin,slark,magnataur,terrorblade
ancient_apparition,ogre_magi,slark,shredder,abaddon
antimage,phantom_lancer,luna,furion,slark
lina,riki,skeleton_king,phantom_assassin,leshrac
beastmaster,phantom_assassin,templar_assassin,naga_siren,legion_commander
zuus,phantom_assassin,life_stealer,ogre_magi,magnataur
axe,windrunner,invoker,silencer,slark
bloodseeker,sniper,warlock,magnataur,abaddon
drow_ranger,pudge,lion,witch_doctor,slark
sniper,furion,spectre,visage,winter_wyvern
mirana,morphling,nevermore,nyx_assassin,abaddon
pudge,sven,tiny,ursa,silencer
faceless_void,invoker,treant,bristleback,legion_commander
antimage,sand_king,lich,dragon_knight,elder_titan
zuus,faceless_void,invoker,obsidian_destroyer,disruptor
antimage,kunkka,witch_doctor,sniper,warlock
morphling,kunkka,warlock,phantom_assassin,ogre_magi
juggernaut,phantom_lancer,phantom_assassin,ursa,alchemist
sven,lion,necrolyte,venomancer,shadow_demon
juggernaut,mirana,pudge,zuus,bounty_hunter
juggernaut,windrunner,keeper_of_the_light,slark,elder_titan
antimage,lina,dark_seer,bounty_hunter,legion_commander
phantom_lancer,sven,slardar,faceless_void,slark
mirana,faceless_void,luna,invoker,shadow_demon
tinker,necrolyte,skeleton_king,dazzle,ursa
sven,windrunner,necrolyte,huskar,spirit_breaker
sand_king,tiny,lina,broodmother,ursa
crystal_maiden,windrunner,phantom_assassin,disruptor,shredder
crystal_maiden,sniper,dazzle,spirit_breaker,slark
juggernaut,nevermore,shadow_shaman,skeleton_king,invoker
bloodseeker,sven,lich,bounty_hunter,medusa
drow_ranger,vengefulspirit,skeleton_king,dragon_knight,invoker
axe,drow_ranger,batrider,invoker,keeper_of_the_light
crystal_maiden,juggernaut,storm_spirit,shadow_demon,bristleback
mirana,puck,necrolyte,phantom_assassin,bristleback
kunkka,phantom_assassin,dazzle,huskar,slark
mirana,sven,tinker,venomancer,spectre
crystal_maiden,morphling,pudge,faceless_void,silencer
mirana,sand_king,storm_spirit,jakiro,naga_siren
juggernaut,mirana,omniknight,medusa,centaur
drow_ranger,phantom_lancer,kunkka,lina,necrolyte
bloodseeker,drow_ranger,vengefulspirit,viper,dragon_knight
bloodseeker,venomancer,obsidian_destroyer,disruptor,legion_commander
pudge,slardar,phantom_assassin,slark,troll_warlord
tidehunter,night_stalker,spectre,silencer,ember_spirit
crystal_maiden,mirana,slardar,faceless_void,medusa
drow_ranger,juggernaut,mirana,vengefulspirit,necrolyte
juggernaut,mirana,tidehunter,faceless_void,skywrath_mage
pudge,sven,enigma,skeleton_king,clinkz
axe,sven,huskar,ancient_apparition,magnataur
morphling,clinkz,omniknight,alchemist,slark
phantom_lancer,lich,queenofpain,phantom_assassin,spectre
sven,witch_doctor,riki,necrolyte,chaos_knight
crystal_maiden,kunkka,phantom_assassin,viper,ember_spirit
juggernaut,furion,dark_seer,shredder,legion_commander
pudge,ursa,invoker,chaos_knight,terrorblade
tinker,bounty_hunter,silencer,medusa,shredder
pudge,clinkz,jakiro,shredder,legion_commander
pudge,sniper,phantom_assassin,templar_assassin,huskar
vengefulspirit,dragon_knight,life_stealer,chaos_knight,abaddon
queenofpain,skeleton_king,phantom_assassin,slark,abaddon
antimage,axe,necrolyte,silencer,skywrath_mage
mirana,windrunner,phantom_assassin,ursa,disruptor
sand_king,tiny,shadow_shaman,necrolyte,legion_commander
mirana,nevermore,sand_king,gyrocopter,shredder
crystal_maiden,skeleton_king,ursa,invoker,silencer
drow_ranger,sand_king,lich,faceless_void,phantom_assassin
crystal_maiden,drow_ranger,pudge,witch_doctor,invoker
juggernaut,zuus,bounty_hunter,alchemist,disruptor
morphling,necrolyte,bounty_hunter,shredder,winter_wyvern
axe,pudge,phantom_assassin,silencer,slark
mirana,riki,skeleton_king,dark_seer,alchemist
mirana,vengefulspirit,weaver,legion_commander,arc_warden
axe,juggernaut,pudge,razor,elder_titan
bane,juggernaut,storm_spirit,necrolyte,tusk
mirana,sand_king,slardar,invoker,slark
phantom_assassin,rattletrap,omniknight,invoker,bristleback
morphling,lion,sniper,spectre,rubick
axe,sven,windrunner,necrolyte,ursa
riki,skeleton_king,viper,bounty_hunter,shredder
antimage,earthshaker,juggernaut,omniknight,undying
bane,drow_ranger,ursa,alchemist,magnataur
axe,earthshaker,storm_spirit,lina,alchemist
tiny,riki,life_stealer,weaver,rubick
vengefulspirit,faceless_void,skeleton_king,huskar,alchemist
pudge,necrolyte,alchemist,treant,legion_commander
riki,pugna,spirit_breaker,silencer,medusa
bloodseeker,sand_king,storm_spirit,phantom_assassin,undying
mirana,storm_spirit,phantom_assassin,leshrac,elder_titan
pudge,sven,riki,tinker,shredder
drow_ranger,mirana,zuus,riki,huskar
bloodseeker,crystal_maiden,drow_ranger,sven,viper
antimage,crystal_maiden,morphling,phantom_assassin,ursa
pudge,faceless_void,obsidian_destroyer,slark,phoenix
antimage,lion,witch_doctor,tinker,slark
axe,alchemist,shredder,bristleback,techies
sand_king,slardar,phantom_assassin,rattletrap,spirit_breaker
axe,nevermore,pudge,storm_spirit,disruptor
morphling,sand_king,furion,invoker,rubick
axe,morphling,slardar,rubick,slark
crystal_maiden,sniper,phantom_assassin,dragon_knight,legion_commander
axe,earthshaker,mirana,kunkka,luna
sven,vengefulspirit,tinker,viper,legion_commander
axe,mirana,tinker,spirit_breaker,silencer
bloodseeker,mirana,sven,skeleton_king,elder_titan
drow_ranger,earthshaker,pudge,kunkka,clinkz
drow_ranger,nevermore,warlock,skeleton_king,silencer
crystal_maiden,mirana,zuus,phantom_assassin,undying
mirana,witch_doctor,riki,sniper,silencer
life_stealer,bounty_hunter,alchemist,slark,tusk
bloodseeker,juggernaut,vengefulspirit,kunkka,phantom_assassin
drow_ranger,lion,phantom_assassin,magnataur,elder_titan
pudge,omniknight,huskar,gyrocopter,medusa
pudge,clinkz,ogre_magi,medusa,shredder
faceless_void,phantom_assassin,omniknight,invoker,silencer
dragon_knight,enchantress,chaos_knight,nyx_assassin,slark
sven,alchemist,disruptor,nyx_assassin,medusa
slardar,phantom_assassin,templar_assassin,disruptor,slark
pudge,kunkka,shadow_shaman,tinker,sniper
zuus,phantom_assassin,life_stealer,ancient_apparition,disruptor
antimage,phantom_lancer,tinker,necrolyte,ancient_apparition
axe,bloodseeker,storm_spirit,faceless_void,medusa
ancient_apparition,alchemist,invoker,shadow_demon,legion_commander
sven,riki,sniper,necrolyte,ogre_magi
phantom_lancer,razor,phantom_assassin,viper,slark
pudge,witch_doctor,sniper,skeleton_king,ursa
mirana,lion,slark,medusa,magnataur
mirana,sven,tidehunter,ursa,legion_commander
crystal_maiden,mirana,vengefulspirit,windrunner,legion_commander
phantom_assassin,slark,troll_warlord,bristleback,winter_wyvern
drow_ranger,sniper,death_prophet,huskar,ursa
enigma,sniper,skeleton_king,alchemist,keeper_of_the_light
pudge,zuus,riki,phantom_assassin,legion_commander
antimage,axe,riki,tinker,viper
pudge,witch_doctor,riki,omniknight,weaver
necrolyte,viper,bounty_hunter,chaos_knight,bristleback
mirana,lion,riki,alchemist,troll_warlord
bloodseeker,drow_ranger,pudge,dragon_knight,techies
antimage,axe,sand_king,enchantress,invoker
mirana,zuus,lion,phantom_assassin,legion_commander
pudge,zuus,kunkka,ursa,naga_siren
mirana,pudge,sven,life_stealer,techies
drow_ranger,life_stealer,invoker,wisp,slark
lich,death_prophet,brewmaster,lone_druid,troll_warlord
antimage,bloodseeker,pudge,phantom_assassin,invoker
bloodseeker,slardar,queenofpain,faceless_void,phantom_assassin
mirana,sand_king,sven,invoker,abaddon
juggernaut,mirana,witch_doctor,ursa,nyx_assassin
juggernaut,pudge,lion,tinker,rattletrap
sand_king,huskar,ursa,shredder,legion_commander
axe,mirana,sand_king,faceless_void,viper
skeleton_king,phantom_assassin,ursa,ogre_magi,troll_warlord
juggernaut,tidehunter,tinker,furion,slark
phantom_lancer,sand_king,windrunner,skeleton_king,centaur
faceless_void,invoker,shadow_demon,treant,shredder
juggernaut,windrunner,luna,shredder,bristleback
drow_ranger,sven,enigma,shredder,legion_commander
mirana,storm_spirit,sven,bounty_hunter,silencer
drow_ranger,zuus,skeleton_king,leshrac,ogre_magi
axe,storm_spirit,riki,invoker,troll_warlord
antimage,nevermore,sand_king,lion,alchemist
antimage,crystal_maiden,juggernaut,necrolyte,troll_warlord
mirana,pudge,lion,undying,ember_spirit
mirana,riki,venomancer,life_stealer,clinkz
sniper,phantom_assassin,huskar,spectre,legion_commander
pudge,zuus,spirit_breaker,chaos_knight,tusk
drow_ranger,tidehunter,queenofpain,dazzle,chaos_knight
antimage,drow_ranger,weaver,keeper_of_the_light,legion_commander
earthshaker,sven,skeleton_king,shredder,phoenix
axe,vengefulspirit,lion,phantom_assassin,ursa
windrunner,necrolyte,faceless_void,shadow_demon,disruptor
axe,crystal_maiden,earthshaker,riki,bristleback
earthshaker,sniper,ancient_apparition,alchemist,invoker
kunkka,phantom_assassin,rattletrap,ogre_magi,rubick
vengefulspirit,tinker,death_prophet,phantom_assassin,keeper_of_the_light
axe,juggernaut,slardar,tinker,ember_spirit
juggernaut,lina,bounty_hunter,doom_bringer,wisp
sven,faceless_void,jakiro,spirit_breaker,nyx_assassin
morphling,pudge,lich,rubick,ember_spirit
mirana,sven,omniknight,invoker,legion_commander
antimage,phantom_assassin,omniknight,bounty_hunter,shredder
antimage,mirana,riki,luna,earth_spirit
puck,pudge,sven,lion,legion_commander
pugna,life_stealer,spectre,ancient_apparition,alchemist
drow_ranger,mirana,riki,death_prophet,furion
bloodseeker,lina,faceless_void,spirit_breaker,shredder
drow_ranger,mirana,storm_spirit,shadow_demon,oracle
earthshaker,juggernaut,skeleton_king,life_stealer,legion_commander
earthshaker,juggernaut,pudge,phantom_assassin,omniknight
juggernaut,silencer,keeper_of_the_light,troll_warlord,centaur
pudge,sand_king,warlock,bounty_hunter,slark
nevermore,sven,slardar,necrolyte,warlock
necrolyte,invoker,chaos_knight,nyx_assassin,legion_commander
pudge,sven,lich,clinkz,jakiro
axe,pudge,necrolyte,phantom_assassin,life_stealer
bloodseeker,juggernaut,life_stealer,spirit_breaker,invoker
zuus,witch_doctor,faceless_void,obsidian_destroyer,elder_titan
mirana,pudge,storm_spirit,riki,spirit_breaker
zuus,dragon_knight,clinkz,batrider,shredder
axe,slardar,skeleton_king,bounty_hunter,slark
mirana,rattletrap,spectre,ogre_magi,legion_commander
crystal_maiden,sven,windrunner,riki,ursa
bloodseeker,juggernaut,sven,tiny,lina
bloodseeker,sven,kunkka,huskar,troll_warlord
mirana,pudge,phantom_assassin,troll_warlord,legion_commander
slardar,luna,life_stealer,omniknight,huskar
earthshaker,juggernaut,necrolyte,ancient_apparition,ogre_magi
pudge,sand_king,bounty_hunter,slark,medusa
axe,mirana,kunkka,luna,ursa
axe,crystal_maiden,zuus,broodmother,lone_druid
antimage,axe,sven,vengefulspirit,medusa
axe,crystal_maiden,bounty_hunter,slark,shredder
bloodseeker,mirana,broodmother,bristleback,elder_titan
mirana,shadow_shaman,necrolyte,skeleton_king,phantom_assassin
drow_ranger,razor,kunkka,templar_assassin,alchemist
axe,sniper,necrolyte,faceless_void,disruptor
zuus,lina,riki,weaver,spectre
mirana,morphling,tinker,life_stealer,shredder
axe,lion,tinker,luna,nyx_assassin
sven,windrunner,riki,bristleback,legion_commander
sven,tidehunter,bounty_hunter,alchemist,legion_commander
sniper,shredder,legion_commander,ember_spirit,phoenix
zuus,furion,spectre,rubick,techies
drow_ranger,sand_king,storm_spirit,tidehunter,clinkz
axe,morphling,kunkka,alchemist,shredder
riki,faceless_void,weaver,lycan,terrorblade
juggernaut,mirana,lich,spirit_breaker,alchemist
drow_ranger,sniper,warlock,ogre_magi,winter_wyvern
antimage,pudge,bristleback,skywrath_mage,terrorblade
windrunner,shadow_shaman,nyx_assassin,slark,ember_spirit
faceless_void,luna,life_stealer,bounty_hunter,naga_siren
mirana,lion,huskar,slark,oracle
drow_ranger,phantom_assassin,huskar,spectre,ember_spirit
drow_ranger,lina,faceless_void,medusa,skywrath_mage
drow_ranger,earthshaker,juggernaut,slardar,invoker
axe,bloodseeker,pudge,sniper,broodmother
riki,phantom_assassin,clinkz,omniknight,silencer
mirana,pudge,riki,luna,bounty_hunter
morphling,storm_spirit,nyx_assassin,elder_titan,legion_commander
mirana,slardar,faceless_void,invoker,terrorblade
axe,lina,slardar,warlock,skywrath_mage
axe,drow_ranger,windrunner,lion,faceless_void
crystal_maiden,mirana,nevermore,riki,tinker
drow_ranger,kunkka,necrolyte,batrider,legion_commander
storm_spirit,sven,sniper,necrolyte,spirit_breaker
axe,juggernaut,leshrac,omniknight,shredder
drow_ranger,shadow_shaman,phantom_assassin,ursa,spirit_breaker
crystal_maiden,pudge,tidehunter,invoker,slark
pudge,huskar,bounty_hunter,slark,legion_commander
venomancer,luna,dazzle,spectre,ogre_magi
juggernaut,pudge,sniper,omniknight,night_stalker
crystal_maiden,riki,tinker,life_stealer,slark
chen,invoker,silencer,slark,centaur
axe,tiny,invoker,ogre_magi,legion_commander
nevermore,storm_spirit,riki,meepo,legion_commander
sven,riki,weaver,ancient_apparition,ursa
crystal_maiden,slardar,tinker,slark,legion_commander
sven,queenofpain,ogre_magi,magnataur,legion_commander
tidehunter,skeleton_king,dragon_knight,weaver,slark
earthshaker,sniper,huskar,jakiro,legion_commander
storm_spirit,sven,huskar,elder_titan,techies
axe,crystal_maiden,juggernaut,nyx_assassin,slark
antimage,mirana,nevermore,pudge,rubick
night_stalker,brewmaster,naga_siren,centaur,elder_titan
pudge,storm_spirit,kunkka,nyx_assassin,ember_spirit
crystal_maiden,drow_ranger,juggernaut,enigma,doom_bringer
nevermore,sand_king,necrolyte,huskar,spirit_breaker
mirana,phantom_assassin,weaver,spectre,legion_commander
nevermore,necrolyte,ursa,slark,centaur
drow_ranger,storm_spirit,sniper,phantom_assassin,dazzle
nevermore,pudge,phantom_assassin,bounty_hunter,ancient_apparition
juggernaut,clinkz,magnataur,shredder,elder_titan
juggernaut,enigma,medusa,tusk,legion_commander
axe,bloodseeker,alchemist,undying,tusk
storm_spirit,kunkka,lina,night_stalker,legion_commander
axe,sven,kunkka,obsidian_destroyer,bristleback
drow_ranger,vengefulspirit,viper,dazzle,batrider
axe,riki,venomancer,weaver,slark
pudge,witch_doctor,enigma,phantom_assassin,ogre_magi
