hero_1,hero_2,hero_3,hero_4,hero_5
morphling,pudge,lina,slardar,riki
sand_king,lich,necrolyte,phantom_assassin,alchemist
pudge,riki,tinker,gyrocopter,silencer
bane,huskar,alchemist,chaos_knight,techies
bloodseeker,witch_doctor,templar_assassin,huskar,ember_spirit
bane,mirana,morphling,pudge,abaddon
razor,sven,lion,enigma,invoker
axe,sven,phantom_assassin,weaver,magnataur
bloodseeker,storm_spirit,riki,bounty_hunter,treant
drow_ranger,windrunner,sniper,faceless_void,phantom_assassin
antimage,mirana,storm_spirit,dazzle,undying
pudge,lina,clinkz,techies,terrorblade
phantom_lancer,riki,enigma,ancient_apparition,lone_druid
drow_ranger,razor,necrolyte,life_stealer,invoker
juggernaut,queenofpain,phantom_assassin,alchemist,ogre_magi
mirana,lion,skeleton_king,bristleback,ember_spirit
earthshaker,phantom_assassin,invoker,meepo,legion_commander
bloodseeker,templar_assassin,doom_bringer,slark,troll_warlord
earthshaker,morphling,skeleton_king,techies,terrorblade
sven,slardar,riki,sniper,rattletrap
bloodseeker,phantom_assassin,pugna,weaver,lycan
juggernaut,mirana,weaver,troll_warlord,shredder
faceless_void,dark_seer,weaver,alchemist,terrorblade
pudge,windrunner,lina,riki,legion_commander
tinker,faceless_void,bounty_hunter,spirit_breaker,ember_spirit
drow_ranger,juggernaut,riki,death_prophet,night_stalker
juggernaut,mirana,undying,slark,shredder
nevermore,pudge,zuus,faceless_void,rubick
crystal_maiden,juggernaut,mirana,windrunner,slark
drow_ranger,sven,undying,rubick,nyx_assassin
antimage,pugna,bounty_hunter,jakiro,centaur
bane,sniper,centaur,legion_commander,ember_spirit
shadow_shaman,tidehunter,phantom_assassin,invoker,earth_spirit
storm_spirit,spectre,magnataur,abaddon,elder_titan
slardar,witch_doctor,venomancer,medusa,shredder
pudge,slardar,phantom_assassin,lone_druid,slark
warlock,skeleton_king,luna,enchantress,ursa
pudge,sven,riki,tinker,omniknight
juggernaut,windrunner,sniper,viper,bounty_hunter
lina,luna,rattletrap,troll_warlord,skywrath_mage
antimage,drow_ranger,zuus,riki,winter_wyvern
bloodseeker,sven,zuus,riki,sniper
phantom_assassin,night_stalker,gyrocopter,disruptor,shredder
windrunner,riki,spirit_breaker,shadow_demon,bristleback
riki,faceless_void,jakiro,nyx_assassin,terrorblade
morphling,zuus,obsidian_destroyer,undying,disruptor
juggernaut,windrunner,tinker,ogre_magi,earth_spirit
clinkz,rubick,shredder,legion_commander,arc_warden
pudge,sven,templar_assassin,weaver,winter_wyvern
bloodseeker,juggernaut,nevermore,pudge,chaos_knight
lina,shadow_shaman,faceless_void,dazzle,shredder
tidehunter,furion,spectre,invoker,rubick
puck,bounty_hunter,silencer,ember_spirit,terrorblade
riki,necrolyte,doom_bringer,slark,legion_commander
sven,tiny,riki,phantom_assassin,centaur
antimage,witch_doctor,necrolyte,spirit_breaker,alchemist
antimage,riki,furion,invoker,ember_spirit
bloodseeker,phantom_lancer,vengefulspirit,bounty_hunter,invoker
axe,life_stealer,alchemist,ogre_magi,troll_warlord
bloodseeker,pudge,tiny,lion,necrolyte
earthshaker,faceless_void,bounty_hunter,medusa,shredder
tinker,phantom_assassin,ursa,disruptor,elder_titan
axe,juggernaut,lion,shadow_shaman,witch_doctor
juggernaut,phantom_lancer,sniper,alchemist,slark
antimage,bloodseeker,invoker,lycan,troll_warlord
beastmaster,huskar,bounty_hunter,gyrocopter,chaos_knight
antimage,earthshaker,nevermore,pudge,huskar
skeleton_king,templar_assassin,alchemist,naga_siren,arc_warden
mirana,nevermore,sven,queenofpain,phantom_assassin
sniper,phantom_assassin,huskar,broodmother,bounty_hunter
juggernaut,riki,phantom_assassin,invoker,winter_wyvern
axe,crystal_maiden,juggernaut,mirana,phantom_assassin
axe,bloodseeker,dragon_knight,jakiro,invoker
phantom_lancer,sven,zuus,disruptor,ember_spirit
axe,razor,zuus,weaver,nyx_assassin
juggernaut,pudge,dark_seer,batrider,shredder
antimage,earthshaker,pudge,razor,sven
crystal_maiden,morphling,vengefulspirit,obsidian_destroyer,troll_warlord
juggernaut,pudge,keeper_of_the_light,legion_commander,ember_spirit
mirana,sven,lion,tidehunter,tinker
juggernaut,mirana,undying,shredder,ember_spirit
morphling,sand_king,tiny,clinkz,skywrath_mage
mirana,phantom_assassin,dark_seer,obsidian_destroyer,winter_wyvern
drow_ranger,mirana,windrunner,enigma,earth_spirit
faceless_void,chen,invoker,terrorblade,oracle
juggernaut,slardar,dragon_knight,naga_siren,keeper_of_the_light
antimage,morphling,lion,slardar,terrorblade
mirana,faceless_void,troll_warlord,legion_commander,oracle
mirana,kunkka,phantom_assassin,invoker,rubick
kunkka,templar_assassin,huskar,bounty_hunter,ogre_magi
undying,slark,troll_warlord,shredder,elder_titan
sven,kunkka,leshrac,disruptor,medusa
juggernaut,mirana,razor,tinker,huskar
razor,vengefulspirit,spectre,gyrocopter,troll_warlord
bloodseeker,slardar,skeleton_king,phantom_assassin,legion_commander
nevermore,venomancer,faceless_void,phantom_assassin,invoker
drow_ranger,sven,sniper,phantom_assassin,huskar
mirana,pudge,witch_doctor,phantom_assassin,bounty_hunter
bane,sniper,death_prophet,life_stealer,invoker
juggernaut,morphling,lion,ogre_magi,skywrath_mage
juggernaut,mirana,lich,faceless_void,phoenix
axe,juggernaut,mirana,pudge,tiny
bloodseeker,pudge,venomancer,gyrocopter,shredder
zuus,ursa,spirit_breaker,chaos_knight,legion_commander
axe,sniper,luna,bounty_hunter,slark
axe,nevermore,broodmother,bounty_hunter,keeper_of_the_light
earthshaker,juggernaut,sven,lone_druid,chaos_knight
mirana,kunkka,slardar,sniper,shredder
drow_ranger,juggernaut,skeleton_king,gyrocopter,legion_commander
sven,dazzle,ancient_apparition,ursa,obsidian_destroyer
antimage,morphling,sven,kunkka,sniper
mirana,tinker,spectre,ogre_magi,nyx_assassin
phantom_lancer,puck,warlock,ancient_apparition,nyx_assassin
drow_ranger,mirana,puck,pudge,dazzle
bloodseeker,earthshaker,huskar,ursa,spirit_breaker
lich,sniper,faceless_void,skeleton_king,shredder
earthshaker,windrunner,witch_doctor,phantom_assassin,clinkz
pudge,zuus,luna,bounty_hunter,legion_commander
death_prophet,batrider,silencer,disruptor,medusa
vengefulspirit,phantom_assassin,nyx_assassin,naga_siren,magnataur
