hero_1,hero_2,hero_3,hero_4,hero_5
bloodseeker,pudge,lion,shadow_shaman,spirit_breaker
bloodseeker,zuus,lina,riki,huskar
storm_spirit,sniper,life_stealer,bounty_hunter,troll_warlord
axe,omniknight,weaver,invoker,legion_commander
pudge,zuus,necrolyte,slark,centaur
axe,crystal_maiden,drow_ranger,sven,legion_commander
sven,ursa,alchemist,undying,centaur
lich,phantom_assassin,ursa,invoker,ogre_magi
bloodseeker,juggernaut,invoker,slark,legion_commander
juggernaut,nevermore,lina,centaur,shredder
sven,windrunner,death_prophet,alchemist,ogre_magi
zuus,weaver,silencer,slark,medusa
juggernaut,mirana,kunkka,dazzle,furion
antimage,bloodseeker,phantom_assassin,chaos_knight,skywrath_mage
pudge,bounty_hunter,spectre,invoker,shredder
shadow_shaman,skeleton_king,death_prophet,alchemist,bristleback
earthshaker,phantom_assassin,omniknight,chaos_knight,meepo
axe,slardar,life_stealer,spirit_breaker,obsidian_destroyer
earthshaker,morphling,lion,phantom_assassin,luna
pudge,queenofpain,phantom_assassin,viper,invoker
pudge,shadow_shaman,phantom_assassin,huskar,lone_druid
mirana,puck,phantom_assassin,broodmother,invoker
juggernaut,mirana,sand_king,luna,centaur
morphling,sven,witch_doctor,skeleton_king,ancient_apparition
necrolyte,life_stealer,invoker,nyx_assassin,slark
axe,drow_ranger,earthshaker,riki,gyrocopter
antimage,axe,mirana,viper,nyx_assassin
axe,nevermore,dazzle,spectre,phoenix
bloodseeker,drow_ranger,mirana,vengefulspirit,magnataur
axe,lion,sniper,silencer,undying
riki,ursa,meepo,rubick,centaur
bloodseeker,crystal_maiden,riki,obsidian_destroyer,chaos_knight
drow_ranger,nevermore,slardar,slark,oracle
juggernaut,pudge,alchemist,rubick,skywrath_mage
pudge,tidehunter,slark,troll_warlord,shredder
bloodseeker,warlock,skeleton_king,invoker,slark
sand_king,viper,brewmaster,disruptor,tusk
bloodseeker,zuus,tinker,phantom_assassin,huskar
axe,sand_king,windrunner,witch_doctor,elder_titan
juggernaut,shadow_shaman,riki,sniper,queenofpain
drow_ranger,necrolyte,phantom_assassin,treant,shredder
drow_ranger,kunkka,gyrocopter,silencer,legion_commander
drow_ranger,queenofpain,rattletrap,ursa,magnataur
razor,bounty_hunter,doom_bringer,alchemist,legion_commander
nevermore,lina,sniper,necrolyte,phantom_assassin
tiny,lich,ursa,ogre_magi,slark
huskar,alchemist,slark,shredder,legion_commander
axe,storm_spirit,sniper,faceless_void,silencer
mirana,morphling,spirit_breaker,alchemist,meepo
drow_ranger,lina,riki,beastmaster,invoker
pudge,storm_spirit,skeleton_king,spectre,centaur
antimage,kunkka,witch_doctor,lich,bristleback
mirana,clinkz,invoker,lone_druid,slark
riki,enigma,invoker,ogre_magi,slark
bloodseeker,shadow_shaman,queenofpain,phantom_assassin,bounty_hunter
sniper,faceless_void,life_stealer,clinkz,night_stalker
mirana,viper,dazzle,rattletrap,huskar
morphling,witch_doctor,faceless_void,spectre,rubick
pudge,kunkka,tinker,batrider,slark
clinkz,invoker,disruptor,shredder,legion_commander
storm_spirit,riki,slark,medusa,shredder
kunkka,lich,faceless_void,undying,legion_commander
mirana,kunkka,necrolyte,ursa,alchemist
antimage,drow_ranger,lion,riki,invoker
axe,zuus,faceless_void,omniknight,obsidian_destroyer
kunkka,sniper,necrolyte,ancient_apparition,invoker
mirana,sven,templar_assassin,batrider,spirit_breaker
antimage,bloodseeker,lion,shredder,legion_commander
drow_ranger,earthshaker,phantom_assassin,huskar,invoker
morphling,pudge,weaver,nyx_assassin,keeper_of_the_light
sand_king,windrunner,skeleton_king,shadow_demon,naga_siren
rattletrap,ancient_apparition,alchemist,obsidian_destroyer,slark
mirana,zuus,gyrocopter,naga_siren,legion_commander
earthshaker,phantom_assassin,bounty_hunter,lone_druid,legion_commander
sven,vengefulspirit,windrunner,furion,legion_commander
antimage,juggernaut,razor,bristleback,phoenix
antimage,juggernaut,pudge,invoker,magnataur
pudge,furion,invoker,nyx_assassin,bristleback
zuus,lion,enchantress,invoker,centaur
morphling,lich,enigma,spirit_breaker,invoker
mirana,nevermore,nyx_assassin,medusa,legion_commander
pudge,silencer,slark,magnataur,legion_commander
drow_ranger,pugna,night_stalker,abaddon,legion_commander
morphling,witch_doctor,furion,invoker,bristleback
pudge,lion,invoker,wisp,legion_commander
vengefulspirit,luna,weaver,disruptor,magnataur
axe,crystal_maiden,storm_spirit,phantom_assassin,night_stalker
mirana,tidehunter,bounty_hunter,spectre,ember_spirit
zuus,venomancer,leshrac,ancient_apparition,invoker
drow_ranger,witch_doctor,riki,skeleton_king,phantom_assassin
sven,lion,necrolyte,templar_assassin,alchemist
antimage,mirana,pudge,warlock,shredder
earthshaker,sand_king,storm_spirit,warlock,meepo
nevermore,riki,faceless_void,omniknight,elder_titan
juggernaut,mirana,vengefulspirit,nyx_assassin,legion_commander
vengefulspirit,necrolyte,faceless_void,phantom_assassin,rubick
juggernaut,mirana,lion,omniknight,weaver
juggernaut,witch_doctor,queenofpain,legion_commander,phoenix
bane,mirana,windrunner,queenofpain,nyx_assassin
earthshaker,invoker,silencer,troll_warlord,legion_commander
bloodseeker,pudge,tidehunter,phantom_assassin,life_stealer
sven,phantom_assassin,leshrac,chaos_knight,treant
pudge,kunkka,faceless_void,bounty_hunter,phoenix
vengefulspirit,huskar,ancient_apparition,slark,legion_commander
phantom_lancer,slardar,huskar,ursa,winter_wyvern
faceless_void,death_prophet,ursa,shredder,abaddon
juggernaut,nevermore,vengefulspirit,lone_druid,legion_commander
axe,storm_spirit,sniper,rattletrap,nyx_assassin
crystal_maiden,morphling,windrunner,phantom_assassin,spirit_breaker
bloodseeker,windrunner,kunkka,ursa,legion_commander
bloodseeker,puck,pudge,tiny,witch_doctor
crystal_maiden,sand_king,phantom_assassin,alchemist,silencer
faceless_void,omniknight,obsidian_destroyer,bristleback,legion_commander
phantom_assassin,luna,silencer,skywrath_mage,legion_commander
pudge,sven,phantom_assassin,rubick,legion_commander
windrunner,slardar,furion,huskar,disruptor
morphling,pudge,windrunner,tidehunter,riki
mirana,tidehunter,invoker,slark,shredder
axe,storm_spirit,phantom_assassin,invoker,legion_commander
sven,slardar,omniknight,invoker,legion_commander
clinkz,huskar,spirit_breaker,treant,medusa
pudge,witch_doctor,faceless_void,luna,winter_wyvern
phantom_lancer,sand_king,tinker,omniknight,weaver
furion,bounty_hunter,undying,magnataur,bristleback
earthshaker,phantom_lancer,pudge,bounty_hunter,weaver
mirana,sven,dark_seer,slark,skywrath_mage
nevermore,sand_king,windrunner,huskar,winter_wyvern
nevermore,ancient_apparition,lycan,disruptor,troll_warlord
mirana,life_stealer,gyrocopter,elder_titan,oracle
antimage,juggernaut,mirana,kunkka,legion_commander
storm_spirit,skeleton_king,omniknight,medusa,skywrath_mage
vengefulspirit,sniper,luna,bristleback,earth_spirit
mirana,venomancer,rubick,slark,bristleback
bloodseeker,crystal_maiden,nevermore,tidehunter,phantom_assassin
phantom_lancer,tiny,vengefulspirit,alchemist,nyx_assassin
sven,sniper,furion,life_stealer,rubick
mirana,nevermore,shadow_shaman,bounty_hunter,ursa
faceless_void,phantom_assassin,rattletrap,spectre,doom_bringer
necrolyte,beastmaster,viper,dragon_knight,magnataur
axe,juggernaut,nevermore,sven,shredder
antimage,sven,queenofpain,shredder,bristleback
juggernaut,jakiro,spirit_breaker,slark,legion_commander
axe,kunkka,chaos_knight,rubick,troll_warlord
kunkka,lycan,shadow_demon,disruptor,keeper_of_the_light
pudge,sven,sniper,slark,legion_commander
mirana,pudge,riki,phantom_assassin,slark
mirana,sand_king,venomancer,life_stealer,invoker
crystal_maiden,puck,pudge,queenofpain,spirit_breaker
kunkka,furion,ancient_apparition,invoker,chaos_knight
antimage,storm_spirit,clinkz,weaver,bristleback
mirana,windrunner,phantom_assassin,leshrac,ursa
phantom_lancer,gyrocopter,chaos_knight,treant,slark
drow_ranger,morphling,necrolyte,huskar,legion_commander
kunkka,skeleton_king,viper,spectre,elder_titan
drow_ranger,riki,tinker,life_stealer,meepo
drow_ranger,omniknight,shadow_demon,shredder,earth_spirit
tiny,night_stalker,ursa,invoker,abaddon
shadow_shaman,phantom_assassin,luna,alchemist,meepo
riki,viper,shadow_demon,medusa,shredder
drow_ranger,juggernaut,morphling,zuus,abaddon
pudge,tinker,rubick,slark,legion_commander
juggernaut,morphling,sand_king,tinker,wisp
drow_ranger,sand_king,shadow_shaman,life_stealer,shredder
earthshaker,vengefulspirit,faceless_void,alchemist,skywrath_mage
earthshaker,vengefulspirit,venomancer,rubick,legion_commander
bloodseeker,sand_king,skeleton_king,life_stealer,winter_wyvern
pudge,riki,life_stealer,shadow_demon,shredder
vengefulspirit,dazzle,spirit_breaker,invoker,slark
drow_ranger,juggernaut,sniper,skeleton_king,dragon_knight
juggernaut,puck,warlock,ursa,shredder
shadow_shaman,riki,alchemist,centaur,shredder
vengefulspirit,luna,ancient_apparition,slark,magnataur
axe,crystal_maiden,pudge,furion,abaddon
sven,witch_doctor,riki,life_stealer,shredder
sand_king,storm_spirit,lich,weaver,medusa
drow_ranger,pudge,ursa,centaur,legion_commander
mirana,clinkz,omniknight,bristleback,legion_commander
dark_seer,jakiro,ancient_apparition,doom_bringer,medusa
mirana,phantom_assassin,rattletrap,jakiro,centaur
witch_doctor,riki,queenofpain,ursa,slark
juggernaut,mirana,necrolyte,phantom_assassin,ogre_magi
axe,pudge,dazzle,huskar,jakiro
crystal_maiden,riki,life_stealer,bounty_hunter,gyrocopter
zuus,tidehunter,enigma,doom_bringer,treant
storm_spirit,slardar,riki,medusa,legion_commander
bloodseeker,juggernaut,skeleton_king,troll_warlord,legion_commander
tinker,life_stealer,omniknight,nyx_assassin,visage
sven,zuus,phantom_assassin,omniknight,disruptor
drow_ranger,riki,broodmother,disruptor,abaddon
antimage,bloodseeker,earthshaker,treant,magnataur
crystal_maiden,juggernaut,storm_spirit,witch_doctor,legion_commander
vengefulspirit,tinker,chen,magnataur,elder_titan
morphling,pudge,ancient_apparition,invoker,legion_commander
nevermore,riki,dragon_knight,jakiro,legion_commander
crystal_maiden,enigma,ancient_apparition,slark,magnataur
storm_spirit,life_stealer,batrider,ogre_magi,disruptor
earthshaker,nevermore,luna,life_stealer,visage
pudge,tiny,skeleton_king,omniknight,disruptor
juggernaut,pudge,riki,skeleton_king,leshrac
pudge,lich,doom_bringer,alchemist,treant
axe,storm_spirit,slardar,phantom_assassin,winter_wyvern
bloodseeker,sven,witch_doctor,lich,invoker
crystal_maiden,kunkka,batrider,invoker,rubick
crystal_maiden,zuus,faceless_void,skeleton_king,silencer
sand_king,queenofpain,phantom_assassin,furion,medusa
crystal_maiden,mirana,pudge,shredder,terrorblade
crystal_maiden,tidehunter,sniper,spectre,techies
crystal_maiden,mirana,slardar,batrider,troll_warlord
drow_ranger,mirana,sniper,luna,elder_titan
bloodseeker,juggernaut,pudge,spirit_breaker,medusa
phantom_lancer,lina,clinkz,spectre,ember_spirit
slardar,riki,skeleton_king,batrider,legion_commander
antimage,mirana,huskar,weaver,legion_commander
kunkka,riki,viper,night_stalker,centaur
sand_king,lina,slardar,clinkz,spectre
juggernaut,sand_king,kunkka,slardar,rattletrap
lina,faceless_void,skeleton_king,phantom_assassin,furion
axe,sand_king,phantom_assassin,rattletrap,slark
bloodseeker,phantom_lancer,pudge,huskar,ancient_apparition
juggernaut,morphling,spectre,slark,ember_spirit
mirana,faceless_void,keeper_of_the_light,elder_titan,legion_commander
mirana,pudge,tinker,phantom_assassin,slark
mirana,puck,vengefulspirit,witch_doctor,huskar
slardar,leshrac,furion,life_stealer,disruptor
morphling,faceless_void,phantom_assassin,techies,ember_spirit
windrunner,necrolyte,silencer,slark,tusk
juggernaut,vengefulspirit,venomancer,enchantress,magnataur
nevermore,pudge,spectre,rubick,skywrath_mage
pudge,lion,obsidian_destroyer,bristleback,terrorblade
drow_ranger,mirana,nevermore,treant,ogre_magi
zuus,dragon_knight,bounty_hunter,tusk,ember_spirit
slardar,luna,dark_seer,alchemist,phoenix
nevermore,faceless_void,ancient_apparition,spirit_breaker,alchemist
bane,bloodseeker,tidehunter,tinker,alchemist
nevermore,riki,templar_assassin,slark,shredder
pudge,sven,doom_bringer,rubick,legion_commander
sven,clinkz,spirit_breaker,slark,troll_warlord
tiny,windrunner,tidehunter,sniper,clinkz
drow_ranger,morphling,phantom_lancer,shadow_shaman,invoker
antimage,lion,sniper,viper,dazzle
axe,lina,spectre,shredder,ember_spirit
juggernaut,pudge,riki,rattletrap,ember_spirit
windrunner,riki,invoker,slark,legion_commander
bane,drow_ranger,morphling,dragon_knight,shredder
juggernaut,mirana,nevermore,slardar,riki
storm_spirit,lion,venomancer,ogre_magi,centaur
phantom_lancer,sand_king,skeleton_king,bounty_hunter,rubick
pudge,lina,witch_doctor,life_stealer,treant
crystal_maiden,earthshaker,riki,enchantress,spectre
sand_king,venomancer,ursa,invoker,slark
pudge,kunkka,necrolyte,nyx_assassin,bristleback
earthshaker,skeleton_king,dragon_knight,life_stealer,spirit_breaker
lion,queenofpain,bounty_hunter,doom_bringer,troll_warlord
mirana,slardar,enigma,necrolyte,shredder
crystal_maiden,tiny,tidehunter,necrolyte,rattletrap
witch_doctor,faceless_void,clinkz,ursa,spirit_breaker
sand_king,riki,queenofpain,elder_titan,terrorblade
drow_ranger,juggernaut,pudge,tiny,ember_spirit
bloodseeker,pudge,bounty_hunter,ursa,medusa
drow_ranger,mirana,witch_doctor,furion,huskar
juggernaut,morphling,tidehunter,omniknight,bounty_hunter
tiny,lich,riki,spectre,legion_commander
morphling,storm_spirit,slardar,sniper,enchantress
sniper,skeleton_king,invoker,bristleback,legion_commander
bloodseeker,lion,templar_assassin,spirit_breaker,invoker
juggernaut,sand_king,riki,ogre_magi,slark
mirana,sven,tidehunter,bounty_hunter,alchemist
phantom_lancer,slardar,sniper,life_stealer,huskar
razor,enigma,nyx_assassin,slark,elder_titan
antimage,sand_king,zuus,enchantress,silencer
morphling,pudge,kunkka,skeleton_king,nyx_assassin
razor,windrunner,lina,batrider,alchemist
antimage,windrunner,zuus,kunkka,rubick
antimage,tinker,venomancer,skeleton_king,slark
vengefulspirit,skeleton_king,dazzle,spectre,medusa
vengefulspirit,slardar,phantom_assassin,bounty_hunter,invoker
antimage,sven,shadow_shaman,necrolyte,disruptor
mirana,witch_doctor,sniper,beastmaster,faceless_void
juggernaut,mirana,sand_king,jakiro,invoker
mirana,phantom_assassin,life_stealer,keeper_of_the_light,legion_commander
tiny,riki,tinker,templar_assassin,omniknight
axe,juggernaut,dark_seer,obsidian_destroyer,winter_wyvern
bloodseeker,faceless_void,phantom_assassin,furion,slark
zuus,life_stealer,huskar,doom_bringer,phoenix
tidehunter,sniper,medusa,centaur,arc_warden
sand_king,faceless_void,huskar,nyx_assassin,oracle
axe,juggernaut,sniper,life_stealer,spectre
phantom_assassin,omniknight,invoker,chaos_knight,shredder
axe,phantom_assassin,invoker,silencer,troll_warlord
drow_ranger,tidehunter,witch_doctor,faceless_void,shredder
mirana,faceless_void,dragon_knight,night_stalker,doom_bringer
sven,skeleton_king,ancient_apparition,ursa,spirit_breaker
juggernaut,skeleton_king,luna,bristleback,abaddon
antimage,earthshaker,sven,tiny,zuus
razor,clinkz,jakiro,gyrocopter,silencer
nevermore,windrunner,necrolyte,faceless_void,phantom_assassin
mirana,furion,life_stealer,batrider,spectre
earthshaker,windrunner,skeleton_king,bounty_hunter,legion_commander
pudge,skeleton_king,phantom_assassin,clinkz,legion_commander
furion,meepo,bristleback,elder_titan,ember_spirit
shadow_shaman,templar_assassin,life_stealer,disruptor,phoenix
tidehunter,enigma,phantom_assassin,alchemist,medusa
drow_ranger,morphling,bounty_hunter,legion_commander,phoenix
juggernaut,pudge,storm_spirit,kunkka,riki
antimage,sven,skeleton_king,elder_titan,techies
pudge,invoker,undying,disruptor,troll_warlord
juggernaut,mirana,witch_doctor,skeleton_king,dazzle
bloodseeker,beastmaster,viper,life_stealer,obsidian_destroyer
axe,lina,phantom_assassin,clinkz,treant
sniper,faceless_void,phantom_assassin,ursa,rubick
nevermore,zuus,sniper,obsidian_destroyer,legion_commander
antimage,drow_ranger,faceless_void,keeper_of_the_light,phoenix
crystal_maiden,mirana,nevermore,invoker,slark
crystal_maiden,kunkka,clinkz,medusa,legion_commander
nevermore,storm_spirit,luna,omniknight,legion_commander
juggernaut,nevermore,sand_king,riki,phantom_assassin
axe,necrolyte,phantom_assassin,slark,elder_titan
necrolyte,templar_assassin,rubick,troll_warlord,bristleback
axe,sniper,phantom_assassin,luna,nyx_assassin
vengefulspirit,riki,sniper,furion,meepo
sven,lion,death_prophet,spirit_breaker,invoker
morphling,warlock,death_prophet,nyx_assassin,bristleback
pudge,zuus,faceless_void,omniknight,ogre_magi
axe,morphling,skeleton_king,disruptor,slark
storm_spirit,vengefulspirit,windrunner,necrolyte,slark
drow_ranger,mirana,nevermore,slardar,medusa
drow_ranger,tidehunter,necrolyte,skeleton_king,nyx_assassin
