hero_1,hero_2,hero_3,hero_4,hero_5
drow_ranger,windrunner,sniper,slark,shredder
drow_ranger,vengefulspirit,templar_assassin,gyrocopter,slark
earthshaker,kunkka,skeleton_king,viper,legion_commander
phantom_lancer,slardar,dark_seer,ursa,arc_warden
sven,beastmaster,faceless_void,dark_seer,invoker
juggernaut,sniper,death_prophet,phantom_assassin,bounty_hunter
nevermore,razor,storm_spirit,phantom_assassin,bounty_hunter
drow_ranger,mirana,kunkka,venomancer,clinkz
lich,riki,faceless_void,phantom_assassin,life_stealer
morphling,pudge,sven,witch_doctor,skeleton_king
crystal_maiden,phantom_assassin,rattletrap,life_stealer,doom_bringer
crystal_maiden,windrunner,skeleton_king,shredder,terrorblade
sven,tinker,batrider,spirit_breaker,rubick
juggernaut,pudge,lycan,medusa,techies
morphling,tidehunter,huskar,rubick,medusa
nevermore,huskar,doom_bringer,troll_warlord,terrorblade
enigma,queenofpain,skeleton_king,templar_assassin,terrorblade
phantom_lancer,lion,warlock,phantom_assassin,bristleback
mirana,puck,rubick,naga_siren,magnataur
storm_spirit,slardar,witch_doctor,huskar,slark
zuus,lich,spirit_breaker,ember_spirit,winter_wyvern
juggernaut,lina,lion,tinker,slark
sven,zuus,witch_doctor,ogre_magi,tusk
mirana,necrolyte,omniknight,alchemist,nyx_assassin
earthshaker,juggernaut,razor,riki,ogre_magi
bloodseeker,sniper,phantom_assassin,meepo,terrorblade
kunkka,riki,ursa,alchemist,lone_druid
mirana,sand_king,faceless_void,shadow_demon,nyx_assassin
axe,juggernaut,nevermore,faceless_void,dazzle
earthshaker,storm_spirit,phantom_assassin,ursa,ogre_magi
mirana,nevermore,slark,magnataur,phoenix
antimage,drow_ranger,mirana,sven,legion_commander
beastmaster,night_stalker,bounty_hunter,invoker,legion_commander
lion,sniper,rattletrap,invoker,troll_warlord
enigma,faceless_void,phantom_assassin,templar_assassin,earth_spirit
crystal_maiden,mirana,sand_king,phantom_assassin,shredder
sniper,dragon_knight,life_stealer,night_stalker,legion_commander
crystal_maiden,vengefulspirit,slardar,faceless_void,skeleton_king
juggernaut,morphling,sven,ursa,invoker
phantom_assassin,dazzle,bounty_hunter,meepo,wisp
lina,life_stealer,batrider,slark,phoenix
storm_spirit,zuus,furion,spectre,invoker
earthshaker,juggernaut,witch_doctor,lich,elder_titan
crystal_maiden,storm_spirit,ursa,spirit_breaker,arc_warden
axe,tinker,faceless_void,bounty_hunter,slark
juggernaut,necrolyte,viper,omniknight,shredder
crystal_maiden,juggernaut,faceless_void,dragon_knight,troll_warlord
shadow_shaman,bounty_hunter,ursa,troll_warlord,legion_commander
axe,sven,enigma,invoker,slark
phantom_assassin,furion,spectre,meepo,keeper_of_the_light
antimage,viper,enchantress,alchemist,legion_commander
drow_ranger,tiny,bounty_hunter,shredder,tusk
axe,queenofpain,dazzle,huskar,alchemist
juggernaut,zuus,slardar,dazzle,shredder
axe,phantom_lancer,viper,dazzle,medusa
crystal_maiden,juggernaut,tidehunter,phantom_assassin,slark
earthshaker,lycan,treant,slark,troll_warlord
pudge,tiny,riki,ogre_magi,slark
mirana,ancient_apparition,invoker,chaos_knight,tusk
bloodseeker,lina,sniper,leshrac,rubick
earthshaker,phantom_lancer,queenofpain,huskar,spirit_breaker
razor,riki,death_prophet,dragon_knight,troll_warlord
axe,juggernaut,nevermore,ancient_apparition,slark
windrunner,sniper,huskar,bounty_hunter,shredder
bane,juggernaut,huskar,spectre,bristleback
mirana,nevermore,windrunner,viper,rubick
bloodseeker,faceless_void,death_prophet,bristleback,ember_spirit
